city_ascii,admin_name,admin_name_ascii
Kothi,Madhya Pradesh,Madhya Pradesh
Darwa,Bih?r,Bihar
Shirbadgi,Karn?taka,Karnataka
Halgur,Karn?taka,Karnataka
Chikni,Bih?r,Bihar
Surla,Goa,Goa
Jhakhra,Bih?r,Bihar
Panchi,Bih?r,Bihar
Jandiala,Punjab,Punjab
Ajjipuram,Karn?taka,Karnataka
Pipra Naurangia,Bih?r,Bihar
Bellamkonda,Andhra Pradesh,Andhra Pradesh
Labhgaon,Bih?r,Bihar
Katalpur,Bih?r,Bihar
Roddam,Andhra Pradesh,Andhra Pradesh
Jadupatti,Bih?r,Bihar
Togamalai,Tamil N?du,Tamil Nadu
Vutukuru,Andhra Pradesh,Andhra Pradesh
Narot Mehra,Punjab,Punjab
Valaparla,Andhra Pradesh,Andhra Pradesh
Kilkunda,Tamil N?du,Tamil Nadu
Kaza,Andhra Pradesh,Andhra Pradesh
Tiruchchuli,Tamil N?du,Tamil Nadu
Kanteru,Andhra Pradesh,Andhra Pradesh
Telnal,Gujar?t,Gujarat
Periyanegamam,Tamil N?du,Tamil Nadu
Mungod,Andhra Pradesh,Andhra Pradesh
Villasagar,Andhra Pradesh,Andhra Pradesh
Elattur,Tamil N?du,Tamil Nadu
Dhanur Kalyanwadi,Karn?taka,Karnataka
Siswar,Bih?r,Bihar
Haldipur,Karn?taka,Karnataka
Rompicherla,Andhra Pradesh,Andhra Pradesh
Solindabad,Bih?r,Bihar
Raparla,Andhra Pradesh,Andhra Pradesh
Hire Megalageri,Karn?taka,Karnataka
Potavaram,Andhra Pradesh,Andhra Pradesh
Deulgaon Mahi,Mah?r?shtra,Maharashtra
Bhagirathpur,Bih?r,Bihar
Bilga,Punjab,Punjab
Kondalahalli,Karn?taka,Karnataka
Borim,Goa,Goa
Mawai,Madhya Pradesh,Madhya Pradesh
Manglur,Karn?taka,Karnataka
Sirigeri,Karn?taka,Karnataka
Belagola,Karn?taka,Karnataka
Sulagiri,Tamil N?du,Tamil Nadu
Rettanai,Tamil N?du,Tamil Nadu
Hipparga,Karn?taka,Karnataka
Nathpur,Bih?r,Bihar
Aroali,West Bengal,West Bengal
Vaddadi,Andhra Pradesh,Andhra Pradesh
Kalakeri,Karn?taka,Karnataka
Anandnagar,Uttar Pradesh,Uttar Pradesh
Masdi,Bih?r,Bihar
Kondakindi Agraharam,Andhra Pradesh,Andhra Pradesh
Adigappadi,Tamil N?du,Tamil Nadu
Raghunathpur,Bih?r,Bihar
Perumuchchi,Tamil N?du,Tamil Nadu
Havanur,Karn?taka,Karnataka
Chauki Hasan Chauki Makhdum,Bih?r,Bihar
Machchand,Madhya Pradesh,Madhya Pradesh
Shahpur Chaumukhi,Bih?r,Bihar
Talugai,Tamil N?du,Tamil Nadu
Korosavada,Andhra Pradesh,Andhra Pradesh
Sahidganj,Bih?r,Bihar
Kadaladi,Tamil N?du,Tamil Nadu
Ekamba,Bih?r,Bihar
Jangalapalle,Andhra Pradesh,Andhra Pradesh
Advi Devalpalli,Andhra Pradesh,Andhra Pradesh
Erutukada,Tamil N?du,Tamil Nadu
Hardas Bigha,Bih?r,Bihar
Karapa,Andhra Pradesh,Andhra Pradesh
Padugaipattu,Tamil N?du,Tamil Nadu
Thikriwala,Punjab,Punjab
Malinagar,Bih?r,Bihar
Ghatawan,Bih?r,Bihar
Khaira,Bih?r,Bihar
Mesra,Jh?rkhand,Jharkhand
Kasba,Bih?r,Bihar
Bagalur,Tamil N?du,Tamil Nadu
Dudhpura,Bih?r,Bihar
Shahpur Undi,Bih?r,Bihar
Bara Khurd,Bih?r,Bihar
Chandralapadu,Andhra Pradesh,Andhra Pradesh
Mocharim,Bih?r,Bihar
Rupana,Punjab,Punjab
Dhamua,West Bengal,West Bengal
Dalawarpur,Bih?r,Bihar
Rangasamudram,Andhra Pradesh,Andhra Pradesh
Petmanhalli,Andhra Pradesh,Andhra Pradesh
Taiyur,Tamil N?du,Tamil Nadu
Gauli Palasiya,Madhya Pradesh,Madhya Pradesh
Tinkoni,Bih?r,Bihar
Lepakshi,Andhra Pradesh,Andhra Pradesh
Nallikodur,Andhra Pradesh,Andhra Pradesh
Vembaditalam,Tamil N?du,Tamil Nadu
Maharajapuram,Tamil N?du,Tamil Nadu
Baldeogarh,Madhya Pradesh,Madhya Pradesh
Suthalia,Madhya Pradesh,Madhya Pradesh
Puduparambubhagam,Kerala,Kerala
Sirugamani,Tamil N?du,Tamil Nadu
Hajipur,Jh?rkhand,Jharkhand
Ganapavaram,Andhra Pradesh,Andhra Pradesh
Bela,Bih?r,Bihar
Munagapaka,Andhra Pradesh,Andhra Pradesh
Panrepatti,Bih?r,Bihar
Lalmunia Munhara,Bih?r,Bihar
Kil Perambalur,Tamil N?du,Tamil Nadu
Belpara,Odisha,Odisha
Dhangaraha,Bih?r,Bihar
Pakka Kalan,Punjab,Punjab
Silamalai,Tamil N?du,Tamil Nadu
Dagiapara,,
Tiri,Bih?r,Bihar
Amwa Majhar,Bih?r,Bihar
Kolagallu,Karn?taka,Karnataka
Waghai,Gujar?t,Gujarat
Ghargaon,Mah?r?shtra,Maharashtra
Deh,R?jasth?n,Rajasthan
Medarametla,Andhra Pradesh,Andhra Pradesh
Lakshmipuro,Andhra Pradesh,Andhra Pradesh
Palanswa,Gujar?t,Gujarat
Hanzviur,Jammu and Kashm?r,Jammu and Kashmir
Amsin,Uttar Pradesh,Uttar Pradesh
Muttalakanpatti,Tamil N?du,Tamil Nadu
Karumulaikkal,Kerala,Kerala
Dhalai,Assam,Assam
Venkatapuram,Andhra Pradesh,Andhra Pradesh
Budwan,Uttar Pradesh,Uttar Pradesh
Khanpur,Uttar Pradesh,Uttar Pradesh
Chhimluang,Mizoram,Mizoram
Siddarampuram,Karn?taka,Karnataka
Reha Mota,Gujar?t,Gujarat
Paravakkottai,Tamil N?du,Tamil Nadu
Chhatarpur,Delhi,Delhi
Tharial,Punjab,Punjab
Dewal Thal,Uttar?khand,Uttarakhand
Lakshmipuram,Tamil N?du,Tamil Nadu
Fatehgarh,Odisha,Odisha
Isnapuram,Andhra Pradesh,Andhra Pradesh
Mevani,Tamil N?du,Tamil Nadu
Kerwada,Gujar?t,Gujarat
Ulipuram,Tamil N?du,Tamil Nadu
Dijmur,Assam,Assam
Kochhor,R?jasth?n,Rajasthan
Betnoti,Odisha,Odisha
Balagam,Gujar?t,Gujarat
Mangalam,Tamil N?du,Tamil Nadu
Ramamangalam,Kerala,Kerala
Bishunpur,Bih?r,Bihar
Bomareddipalli,Andhra Pradesh,Andhra Pradesh
Rakhwari,Bih?r,Bihar
Vilpatti,Tamil N?du,Tamil Nadu
Erraballa,Andhra Pradesh,Andhra Pradesh
Paikpara,West Bengal,West Bengal
Fatehabad,Punjab,Punjab
Yadwad,Karn?taka,Karnataka
Ketugram,West Bengal,West Bengal
Rangamati,West Bengal,West Bengal
Fateha,Bih?r,Bihar
Kengarai,Tamil N?du,Tamil Nadu
Pullambadi,Tamil N?du,Tamil Nadu
Chada,Andhra Pradesh,Andhra Pradesh
Dilra,Uttar Pradesh,Uttar Pradesh
Inungur,Tamil N?du,Tamil Nadu
Simri,Bih?r,Bihar
Gulyam,Andhra Pradesh,Andhra Pradesh
Hosur,Karn?taka,Karnataka
Itikalapalle,Andhra Pradesh,Andhra Pradesh
Painal,Bih?r,Bihar
Madhuban,Bih?r,Bihar
Kanyana,Karn?taka,Karnataka
Tansandra,Karn?taka,Karnataka
Bhawanipur,Bih?r,Bihar
Dumri,Bih?r,Bihar
Mamobihat,Bih?r,Bihar
Kottaipatti,Tamil N?du,Tamil Nadu
Erraguntlakota,Andhra Pradesh,Andhra Pradesh
Tokkavadi,Tamil N?du,Tamil Nadu
Kishunpur,Bih?r,Bihar
Kambaliyampatti,Tamil N?du,Tamil Nadu
Chakicherla,Andhra Pradesh,Andhra Pradesh
Sundekuppam,Tamil N?du,Tamil Nadu
Kapasiawan,Bih?r,Bihar
Padinjarebagam,Kerala,Kerala
Khandsa,Hary?na,Haryana
Mahem,Goa,Goa
Ettimadai,Tamil N?du,Tamil Nadu
Khuran Milik,Bih?r,Bihar
Saharbani,Bih?r,Bihar
Puttige,Karn?taka,Karnataka
Ennamangalam,Tamil N?du,Tamil Nadu
Bhado Khara,Bih?r,Bihar
Nariar,Bih?r,Bihar
Pachchampalaiyam,Tamil N?du,Tamil Nadu
Ammanabrolu,Andhra Pradesh,Andhra Pradesh
Balal,Kerala,Kerala
Kamdoli,Karn?taka,Karnataka
Bagodar,Jh?rkhand,Jharkhand
Telwa,Bih?r,Bihar
Akalapura,Karn?taka,Karnataka
Telpur,Bih?r,Bihar
Kinalur,Kerala,Kerala
Lalganj,Bih?r,Bihar
Khapdeh,Bih?r,Bihar
Kalimala,Chhatt?sgarh,Chhattisgarh
Kadrabad,Bih?r,Bihar
Parwaha,Bih?r,Bihar
Paval,Kerala,Kerala
Vedurupavaluru,Andhra Pradesh,Andhra Pradesh
Kargahia Purab,Bih?r,Bihar
Bajwara,Punjab,Punjab
Angalakuduru Malepalle,Andhra Pradesh,Andhra Pradesh
Dharmavaram,Andhra Pradesh,Andhra Pradesh
Minnampalli,Tamil N?du,Tamil Nadu
Pavittiram,Tamil N?du,Tamil Nadu
Honwada,Andhra Pradesh,Andhra Pradesh
Barni,Bih?r,Bihar
Pipraun,Bih?r,Bihar
Pudimadaka,Andhra Pradesh,Andhra Pradesh
Kunnur,Tamil N?du,Tamil Nadu
Karajgi,Karn?taka,Karnataka
Kaunra,Bih?r,Bihar
Bharhopur,Bih?r,Bihar
Kaith,Bih?r,Bihar
Navinipatti,Tamil N?du,Tamil Nadu
Suhiya,Bih?r,Bihar
Shankarampet,Andhra Pradesh,Andhra Pradesh
Tonse East,Karn?taka,Karnataka
Wangi,Mah?r?shtra,Maharashtra
Bilehra,Madhya Pradesh,Madhya Pradesh
Dera Baba Nanak,Punjab,Punjab
Ippagudem,Andhra Pradesh,Andhra Pradesh
Siruvalur,Tamil N?du,Tamil Nadu
Baghant,Bih?r,Bihar
Jettihalli,Tamil N?du,Tamil Nadu
Gudgeri,Karn?taka,Karnataka
Namakadu,Andhra Pradesh,Andhra Pradesh
Muthabana,West Bengal,West Bengal
Bhadsara,Bih?r,Bihar
Kadanganeri,Tamil N?du,Tamil Nadu
Kaimati,Assam,Assam
Chintapalle,Andhra Pradesh,Andhra Pradesh
Gurwalia Biswas,Bih?r,Bihar
Sultanpur,Uttar?khand,Uttarakhand
Hosahalli,Karn?taka,Karnataka
Barahra,Bih?r,Bihar
Baltara,Bih?r,Bihar
Tadiparti,Andhra Pradesh,Andhra Pradesh
Reddigudem,Andhra Pradesh,Andhra Pradesh
Nayagaon,R?jasth?n,Rajasthan
Qazigund,Jammu and Kashm?r,Jammu and Kashmir
Chegur,Andhra Pradesh,Andhra Pradesh
Ommangi,Andhra Pradesh,Andhra Pradesh
Palepalli,Tamil N?du,Tamil Nadu
Muttattuteruvu,Kerala,Kerala
Vettaikkaraniruppu,Tamil N?du,Tamil Nadu
Lingampet,Andhra Pradesh,Andhra Pradesh
Mahisanrh,Bih?r,Bihar
Majhgawan,Madhya Pradesh,Madhya Pradesh
Tanichchiyam,Tamil N?du,Tamil Nadu
Paradarami,Andhra Pradesh,Andhra Pradesh
Berikai,Tamil N?du,Tamil Nadu
Narasimharajapura,Karn?taka,Karnataka
Achchippatti,Tamil N?du,Tamil Nadu
Kadoli,Karn?taka,Karnataka
Tigaon,Madhya Pradesh,Madhya Pradesh
Surir,Uttar Pradesh,Uttar Pradesh
Tulin,West Bengal,West Bengal
Boriguma,Chhatt?sgarh,Chhattisgarh
Katarmala,Bih?r,Bihar
Hansa,Bih?r,Bihar
Kharial,Punjab,Punjab
Kokiladanga,West Bengal,West Bengal
Pedda Kotayalanka,Andhra Pradesh,Andhra Pradesh
Itamukkala,Andhra Pradesh,Andhra Pradesh
Kaimuh,Jammu and Kashm?r,Jammu and Kashmir
Shahzadpur,Bih?r,Bihar
Manubolu,Andhra Pradesh,Andhra Pradesh
Patsanda,Bih?r,Bihar
Chandankiari,West Bengal,West Bengal
Karghar,Bih?r,Bihar
Iraiyur,Tamil N?du,Tamil Nadu
Pushpattur,Tamil N?du,Tamil Nadu
Terku Narippaiyur,Tamil N?du,Tamil Nadu
Birpur Barapatti Pindraun,Bih?r,Bihar
Kodivalasa,Tamil N?du,Tamil Nadu
Gangapur Athar,Bih?r,Bihar
Nisarpur,Madhya Pradesh,Madhya Pradesh
Kusugal,Karn?taka,Karnataka
Pithaura,Bih?r,Bihar
Baragaon,Bih?r,Bihar
Amjhar,Bih?r,Bihar
Nagulapadu,Andhra Pradesh,Andhra Pradesh
Indurti,Andhra Pradesh,Andhra Pradesh
Gorha,Bih?r,Bihar
Chuhal,Punjab,Punjab
Aurahi,Bih?r,Bihar
Basapatna,Karn?taka,Karnataka
Pasupatikovil,Tamil N?du,Tamil Nadu
Nurpur,Him?chal Pradesh,Himachal Pradesh
Kalas,Karn?taka,Karnataka
Palkot,Jh?rkhand,Jharkhand
Dumri,Bih?r,Bihar
Gangaur,Bih?r,Bihar
Sorab,Karn?taka,Karnataka
Kinhalu,Karn?taka,Karnataka
Kalyanpur,Bih?r,Bihar
Paravada,Andhra Pradesh,Andhra Pradesh
Kil Valur,Tamil N?du,Tamil Nadu
Keshwari,Jh?rkhand,Jharkhand
Devikapuram,Tamil N?du,Tamil Nadu
Manushmuria,Jh?rkhand,Jharkhand
Velpuru,Andhra Pradesh,Andhra Pradesh
Sukhsena,Bih?r,Bihar
Silvarpatti,Tamil N?du,Tamil Nadu
Khathjari,Madhya Pradesh,Madhya Pradesh
Veppattur,Tamil N?du,Tamil Nadu
Chak That,Bih?r,Bihar
Bag,Madhya Pradesh,Madhya Pradesh
Bamora,Madhya Pradesh,Madhya Pradesh
Kotli Ablu,Punjab,Punjab
Jhitkahiya,Bih?r,Bihar
Alagarai,Tamil N?du,Tamil Nadu
Koini,Bih?r,Bihar
Charne,Bih?r,Bihar
Gangania,Bih?r,Bihar
Muddanuru,Andhra Pradesh,Andhra Pradesh
Nallamadu,Andhra Pradesh,Andhra Pradesh
Ramnagar Bankat,Bih?r,Bihar
Jalalpur,Bih?r,Bihar
Semri,Bih?r,Bihar
Manalurpettai,Tamil N?du,Tamil Nadu
Pakri,Bih?r,Bihar
Valantaravai,Tamil N?du,Tamil Nadu
Karankot,Andhra Pradesh,Andhra Pradesh
Perket,Andhra Pradesh,Andhra Pradesh
Mahinathpur,Bih?r,Bihar
Kanchanpur,Bih?r,Bihar
Jaisinghnagar,Madhya Pradesh,Madhya Pradesh
Kattagaram,Tamil N?du,Tamil Nadu
Salkhua,Bih?r,Bihar
Ganguru,Andhra Pradesh,Andhra Pradesh
Erravaram,Andhra Pradesh,Andhra Pradesh
Kolnur,Andhra Pradesh,Andhra Pradesh
Aramangalam,Kerala,Kerala
Dhamsain,Bih?r,Bihar
Jagatpur,Bih?r,Bihar
Chegurumomadi,Andhra Pradesh,Andhra Pradesh
Satuluru,Andhra Pradesh,Andhra Pradesh
Shahganj,Madhya Pradesh,Madhya Pradesh
Urlaha,Bih?r,Bihar
Undavalli,Andhra Pradesh,Andhra Pradesh
Dhanwada,Andhra Pradesh,Andhra Pradesh
Sirdala,Bih?r,Bihar
Hunasamaranhalli,Karn?taka,Karnataka
Chausa,Bih?r,Bihar
Murungattoluvu,Tamil N?du,Tamil Nadu
Ghusiya,Bih?r,Bihar
Motipur,Bih?r,Bihar
Semmarikulan,Tamil N?du,Tamil Nadu
Kaithinia,Bih?r,Bihar
Rangasamudram,Andhra Pradesh,Andhra Pradesh
Kusumha,Bih?r,Bihar
Hadiaya,Punjab,Punjab
Rampur,Bih?r,Bihar
Atlapadu,Andhra Pradesh,Andhra Pradesh
Karattuppalaiyam,Tamil N?du,Tamil Nadu
Elambalur,Tamil N?du,Tamil Nadu
Bareh,Madhya Pradesh,Madhya Pradesh
Kakkat,Kerala,Kerala
Tivim,Goa,Goa
Mahuver,Gujar?t,Gujarat
Tellar,Tamil N?du,Tamil Nadu
Haraiya,Bih?r,Bihar
Kottampatti,Tamil N?du,Tamil Nadu
Sundarapandiyam,Tamil N?du,Tamil Nadu
Lapanga,Jh?rkhand,Jharkhand
Tiruvengadam,Tamil N?du,Tamil Nadu
Periyapuliyur,Tamil N?du,Tamil Nadu
Kannandahalli,Tamil N?du,Tamil Nadu
Vanipenta,Andhra Pradesh,Andhra Pradesh
Punnavalli,Andhra Pradesh,Andhra Pradesh
Bararam,Bih?r,Bihar
Belsara,Bih?r,Bihar
Rampura,Karn?taka,Karnataka
Pipra Dewas,Bih?r,Bihar
Atturkuppam,Tamil N?du,Tamil Nadu
Madhubani,Bih?r,Bihar
Wadgira,Karn?taka,Karnataka
Tungavi,Tamil N?du,Tamil Nadu
Zafargarh,Andhra Pradesh,Andhra Pradesh
Para,West Bengal,West Bengal
Pai Bigha,Bih?r,Bihar
Latteri,Tamil N?du,Tamil Nadu
Santamaguluru,Andhra Pradesh,Andhra Pradesh
Mohdra,Madhya Pradesh,Madhya Pradesh
Malhargarh,Madhya Pradesh,Madhya Pradesh
Velakkuttai,Tamil N?du,Tamil Nadu
Jagtial,Andhra Pradesh,Andhra Pradesh
Pulluru,Andhra Pradesh,Andhra Pradesh
Pondaluru,Andhra Pradesh,Andhra Pradesh
Perumbalam,Kerala,Kerala
Makri,Jh?rkhand,Jharkhand
Piprai,Madhya Pradesh,Madhya Pradesh
Pindra,Madhya Pradesh,Madhya Pradesh
Madanpur,Bih?r,Bihar
Dinara,Madhya Pradesh,Madhya Pradesh
Ottappidaram,Tamil N?du,Tamil Nadu
Pathari,Madhya Pradesh,Madhya Pradesh
Makhar,Bih?r,Bihar
Parmanpur,Bih?r,Bihar
Laligam,Tamil N?du,Tamil Nadu
Velpuru,Andhra Pradesh,Andhra Pradesh
Bithauli,Bih?r,Bihar
Manrar,Bih?r,Bihar
Thepaha Raja Ram,Bih?r,Bihar
Reddippatti,Tamil N?du,Tamil Nadu
Pareo,Bih?r,Bihar
Karimpur,West Bengal,West Bengal
Kishanpura Kalan,Punjab,Punjab
Dundankop,Karn?taka,Karnataka
Kannamangalam,Tamil N?du,Tamil Nadu
Dahua,Bih?r,Bihar
Talapalli,Andhra Pradesh,Andhra Pradesh
Barahbatta,Bih?r,Bihar
Dandkhora,Bih?r,Bihar
Hardia,Bih?r,Bihar
Tiruvambalapuram,Tamil N?du,Tamil Nadu
Konidena,Andhra Pradesh,Andhra Pradesh
Dhorgaon,Bih?r,Bihar
Simrol,Madhya Pradesh,Madhya Pradesh
Ikkarai Boluvampatti,Tamil N?du,Tamil Nadu
Nanjundapuram,Tamil N?du,Tamil Nadu
Kataha,Bih?r,Bihar
Beltangadi,Karn?taka,Karnataka
Bendrahalli,Tamil N?du,Tamil Nadu
Piploda,Madhya Pradesh,Madhya Pradesh
Kathurah,Hary?na,Haryana
Adamankottai,Tamil N?du,Tamil Nadu
Bhagsar,Punjab,Punjab
Godhra,Gujar?t,Gujarat
Madari Hat,West Bengal,West Bengal
Bochaha,Bih?r,Bihar
Gundi,Andhra Pradesh,Andhra Pradesh
Nambutalai,Tamil N?du,Tamil Nadu
Anantpur,Karn?taka,Karnataka
Bilaspur,Hary?na,Haryana
Tadhwa Nandpur,Bih?r,Bihar
Babhantoli,Bih?r,Bihar
Karadka,Kerala,Kerala
Masar,Bih?r,Bihar
Rampur,Bih?r,Bihar
Gandlapenta,Andhra Pradesh,Andhra Pradesh
Haripur,Bih?r,Bihar
Mangalam,Tamil N?du,Tamil Nadu
Thogaduru,Karn?taka,Karnataka
Kirlampudi,Andhra Pradesh,Andhra Pradesh
Bhawanandpur,Bih?r,Bihar
Hindoli,R?jasth?n,Rajasthan
Petua,West Bengal,West Bengal
Dobhawan,Bih?r,Bihar
Gonikoppal,Karn?taka,Karnataka
Chavuttahalli,Tamil N?du,Tamil Nadu
Chilpur,Andhra Pradesh,Andhra Pradesh
Kudayattur,Kerala,Kerala
Soanpeta,Andhra Pradesh,Andhra Pradesh
Majali,Karn?taka,Karnataka
Sulibele,Karn?taka,Karnataka
Pachhapur,Karn?taka,Karnataka
Banaso,Jh?rkhand,Jharkhand
Enkakad,Kerala,Kerala
Ratnahalli,Karn?taka,Karnataka
Ekma,Bih?r,Bihar
Puduppattanam,Tamil N?du,Tamil Nadu
Rellivalasa,Andhra Pradesh,Andhra Pradesh
Talavadi,Tamil N?du,Tamil Nadu
Perumbalai,Tamil N?du,Tamil Nadu
Pagidyala,Andhra Pradesh,Andhra Pradesh
Avanashipalaiyam,Tamil N?du,Tamil Nadu
Gamharia,Bih?r,Bihar
Parur,Tamil N?du,Tamil Nadu
Sarmera,Bih?r,Bihar
Jaisinghnagar,Madhya Pradesh,Madhya Pradesh
Sanampudi,Andhra Pradesh,Andhra Pradesh
Gawan,Uttar Pradesh,Uttar Pradesh
Terkhed,Mah?r?shtra,Maharashtra
Ittikelakunta,Andhra Pradesh,Andhra Pradesh
Kochgawan,Bih?r,Bihar
Nandamuru,Andhra Pradesh,Andhra Pradesh
Daulatpur,West Bengal,West Bengal
Baretha,Bih?r,Bihar
Avalurpet,Tamil N?du,Tamil Nadu
Adesar,Gujar?t,Gujarat
Mianpur Dubauli,Bih?r,Bihar
Koranampatti,Tamil N?du,Tamil Nadu
Palankottai,Tamil N?du,Tamil Nadu
Bisaria,Bih?r,Bihar
